locality,region,pop,proper
charlotte,nc,897720,Charlotte
clayton,nc,29445,Clayton
clemmons,nc,21823,Clemmons
concord,nc,109896,Concord
cornelius,nc,32294,Cornelius
durham,nc,291928,Durham
fayetteville,nc,208873,Fayetteville
fuquay-varina,nc,40810,Fuquay-Varina
garner,nc,33669,Garner
gastonia,nc,82653,Gastonia
goldsboro,nc,33215,Goldsboro
greensboro,nc,301115,Greensboro
greenville,nc,89233,Greenville
hickory,nc,44084,Hickory
high-point,nc,115067,High Point
holly-springs,nc,45945,Holly Springs
huntersville,nc,63035,Huntersville
indian-trail,nc,41724,Indian Trail
jacksonville,nc,70420,Jacksonville
kannapolis,nc,55448,Kannapolis
kernersville,nc,27763,Kernersville
leland,nc,28591,Leland
matthews,nc,30124,Matthews
mint-hill,nc,27143,Mint Hill
monroe,nc,36018,Monroe
mooresville,nc,52656,Mooresville
morrisville,nc,31493,Morrisville
new-bern,nc,31539,New Bern
raleigh,nc,476587,Raleigh
rocky-mount,nc,54013,Rocky Mount
salisbury,nc,35808,Salisbury
sanford,nc,31224,Sanford
shelby,nc,21855,Shelby
statesville,nc,29681,Statesville
thomasville,nc,27399,Thomasville
wake-forest,nc,51113,Wake Forest
waxhaw,nc,22533,Waxhaw
wilmington,nc,120324,Wilmington
wilson,nc,47606,Wilson
winston-salem,nc,251350,Winston-Salem
bismarck,nd,74445,Bismarck
dickinson,nd,24979,Dickinson
fargo,nd,131444,Fargo
grand-forks,nd,58692,Grand Forks
mandan,nd,24486,Mandan
minot,nd,47759,Minot
west-fargo,nd,39985,West Fargo
williston,nd,27029,Williston
akron,oh,188509,Akron
alliance,oh,21414,Alliance
athens,oh,20820,Athens
avon,oh,25375,Avon
avon-lake,oh,25617,Avon Lake
barberton,oh,24826,Barberton
beavercreek,oh,46942,Beavercreek
bowling-green,oh,29647,Bowling Green
brunswick,oh,35196,Brunswick
canton,oh,69671,Canton
centerville,oh,25156,Centerville
chillicothe,oh,21921,Chillicothe
cincinnati,oh,309513,Cincinnati
cleveland,oh,361607,Cleveland
cleveland-heights,oh,44201,Cleveland Heights
columbus,oh,907971,Columbus
cuyahoga-falls,oh,50655,Cuyahoga Falls
dayton,oh,135944,Dayton
delaware,oh,43895,Delaware
dublin,oh,48998,Dublin
elyria,oh,52908,Elyria
euclid,oh,48496,Euclid
fairborn,oh,34977,Fairborn
fairfield,oh,44456,Fairfield
findlay,oh,40249,Findlay
gahanna,oh,35127,Gahanna
garfield-heights,oh,29072,Garfield Heights
green,oh,27269,Green
grove-city,oh,42233,Grove City
hamilton,oh,62937,Hamilton
hilliard,oh,37377,Hilliard
huber-heights,oh,43321,Huber Heights
hudson,oh,22917,Hudson
kent,oh,27147,Kent
kettering,oh,57027,Kettering
lakewood,oh,49658,Lakewood
lancaster,oh,41174,Lancaster
lebanon,oh,21483,Lebanon
lima,oh,34977,Lima
lorain,oh,65365,Lorain
mansfield,oh,47865,Mansfield
maple-heights,oh,23136,Maple Heights
marion,oh,35327,Marion
marysville,oh,27157,Marysville
mason,oh,35520,Mason
massillon,oh,32292,Massillon
medina,oh,26033,Medina
mentor,oh,47044,Mentor
middletown,oh,51229,Middletown
newark,oh,50763,Newark
north-olmsted,oh,31724,North Olmsted
north-ridgeville,oh,36824,North Ridgeville
north-royalton,oh,30793,North Royalton
painesville,oh,20642,Painesville
parma,oh,79358,Parma
parma-heights,oh,20389,Parma Heights
perrysburg,oh,25161,Perrysburg
pickerington,oh,24524,Pickerington
piqua,oh,20607,Piqua
reynoldsburg,oh,41117,Reynoldsburg
riverside,oh,24355,Riverside
rocky-river,oh,21346,Rocky River
sandusky,oh,24526,Sandusky
shaker-heights,oh,28723,Shaker Heights
sidney,oh,20290,Sidney
solon,oh,23792,Solon
south-euclid,oh,21395,South Euclid
springfield,oh,58106,Springfield
stow,oh,34216,Stow
strongsville,oh,45725,Strongsville
toledo,oh,266301,Toledo
trotwood,oh,22959,Trotwood
troy,oh,26679,Troy
upper-arlington,oh,36010,Upper Arlington
wadsworth,oh,24521,Wadsworth
warren,oh,38906,Warren
westerville,oh,38466,Westerville
westlake,oh,33907,Westlake
willoughby,oh,24130,Willoughby
wooster,oh,27031,Wooster
xenia,oh,25612,Xenia
youngstown,oh,59144,Youngstown
zanesville,oh,24600,Zanesville
ardmore,ok,24869,Ardmore
bartlesville,ok,37795,Bartlesville
bethany,ok,20447,Bethany
bixby,ok,29800,Bixby
broken-arrow,ok,117911,Broken Arrow
claremore,ok,20174,Claremore
del-city,ok,21388,Del City
duncan,ok,23045,Duncan
edmond,ok,96286,Edmond
enid,ok,50499,Enid
jenks,ok,27141,Jenks
lawton,ok,91542,Lawton
midwest-city,ok,57950,Midwest City
moore,ok,63223,Moore
muskogee,ok,36738,Muskogee
mustang,ok,22232,Mustang
norman,ok,129627,Norman
oklahoma-city,ok,694800,Oklahoma City
owasso,ok,39328,Owasso
ponca-city,ok,24340,Ponca City
